,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2010-10-27,Witchcliffe,13.6,19.7,0.0,,,WNW,50.0,SW,W,17.0,20.0,76.0,55.0,1010.0,1009.0,,,17.2,18.8,No,Yes
1,2016-01-17,Adelaide,15.9,36.6,0.0,,,WNW,28.0,SW,WSW,6.0,15.0,30.0,11.0,1018.9,1015.9,,,24.7,34.9,No,No
2,2009-06-22,Tuggeranong,5.0,12.4,1.2,,,NNW,19.0,ENE,NW,4.0,6.0,100.0,80.0,1021.2,1019.7,,,5.7,11.6,Yes,No
3,2012-05-10,Melbourne,10.7,20.6,0.0,4.4,9.8,N,31.0,NNW,S,11.0,6.0,75.0,31.0,1022.6,1018.2,1.0,1.0,12.1,20.2,No,No
4,2010-12-19,Dartmoor,10.1,15.2,8.8,5.6,5.0,WSW,54.0,WNW,SW,13.0,17.0,94.0,89.0,996.1,997.9,,,11.7,10.5,Yes,Yes
5,2009-03-01,Moree,18.4,35.5,0.0,6.6,10.6,SSW,37.0,,WSW,,20.0,48.0,24.0,1010.4,1008.1,5.0,3.0,25.0,34.6,No,No
6,2009-01-11,Cairns,23.0,28.7,47.0,2.8,0.0,SSE,39.0,S,ESE,17.0,13.0,74.0,66.0,1006.7,1005.4,7.0,8.0,25.5,27.2,Yes,Yes
7,2012-07-23,Portland,7.4,13.7,1.6,2.0,0.3,NNW,20.0,N,NNW,9.0,11.0,97.0,67.0,1030.1,1026.9,8.0,8.0,9.6,13.3,Yes,No
8,2014-04-03,Ballarat,11.2,17.1,0.0,,,S,41.0,S,SSE,17.0,24.0,76.0,60.0,1020.3,1020.3,7.0,8.0,11.5,15.2,No,No
9,2009-12-01,MountGambier,7.1,23.8,0.0,3.8,13.6,ENE,35.0,E,ENE,22.0,19.0,57.0,33.0,1022.5,1019.7,1.0,1.0,15.7,22.8,No,No
10,2015-11-01,Witchcliffe,9.1,22.6,0.0,,,E,26.0,SE,WNW,15.0,11.0,59.0,56.0,1014.8,1009.9,,,17.1,19.9,No,No
11,2016-10-09,PerthAirport,12.7,19.0,7.4,3.0,6.7,SW,50.0,WSW,SSW,30.0,33.0,60.0,44.0,1021.6,1022.3,4.0,2.0,15.8,16.9,Yes,No
12,2009-10-20,Cairns,21.2,29.9,13.4,6.0,8.6,SSE,57.0,SSE,ESE,33.0,33.0,69.0,39.0,1020.4,1017.0,7.0,2.0,23.1,27.8,Yes,Yes
13,2013-07-06,Portland,8.1,12.9,7.8,1.4,6.3,WSW,67.0,W,WSW,31.0,20.0,72.0,75.0,1014.9,1016.4,8.0,8.0,10.8,12.0,Yes,Yes
14,2012-04-24,Portland,7.4,14.1,11.0,1.6,1.6,SSW,52.0,SW,S,33.0,24.0,74.0,50.0,1016.8,1017.9,8.0,6.0,9.8,13.0,Yes,Yes
15,2013-01-09,Albany,20.1,22.6,0.0,6.4,9.9,,,WSW,WSW,31.0,30.0,81.0,62.0,1010.2,1008.7,6.0,4.0,20.4,21.9,No,No
16,2010-03-01,Melbourne,14.1,21.4,0.4,8.0,8.5,SSE,54.0,SE,SSE,33.0,39.0,45.0,48.0,1024.3,1022.2,3.0,7.0,16.7,20.5,No,No
17,2014-06-17,Newcastle,9.4,19.9,0.1,,,,,NW,,7.0,0.0,69.0,58.0,,,0.0,6.0,12.0,18.0,No,No
18,2012-08-24,Richmond,10.2,20.1,4.6,,,NW,54.0,NW,W,24.0,26.0,39.0,26.0,1015.7,1012.6,,,13.9,19.2,Yes,No
19,2011-11-26,Mildura,15.1,25.0,0.0,8.0,7.3,W,37.0,W,SSW,17.0,13.0,84.0,47.0,1008.8,1007.2,8.0,5.0,15.8,23.4,No,Yes
20,2011-09-11,MountGambier,7.7,14.7,3.2,2.4,8.8,S,46.0,S,S,31.0,30.0,61.0,63.0,1022.4,1023.3,3.0,7.0,11.8,12.5,Yes,No
21,2014-04-19,Williamtown,12.3,23.0,0.0,,,SSE,30.0,W,SSE,13.0,20.0,60.0,54.0,1016.5,1013.9,,3.0,20.0,21.1,No,No
22,2017-05-05,Nhil,2.7,19.2,0.0,,,N,28.0,ENE,N,11.0,13.0,79.0,41.0,1027.6,1022.9,,,7.8,18.7,No,No
23,2015-08-19,SydneyAirport,8.9,17.6,0.0,3.6,6.6,E,28.0,WNW,ENE,9.0,19.0,49.0,55.0,1027.1,1024.9,3.0,6.0,14.5,16.2,No,No
24,2014-07-26,Portland,10.8,14.0,3.0,1.8,8.1,WSW,35.0,WSW,W,15.0,20.0,84.0,76.0,1024.0,1024.3,8.0,7.0,12.1,13.0,Yes,No
25,2014-07-08,Tuggeranong,-1.4,11.5,0.2,,,WNW,28.0,E,NW,2.0,15.0,88.0,56.0,1017.3,1013.0,,,3.0,10.2,No,No
26,2009-06-02,Hobart,2.2,12.2,0.0,0.8,7.1,NW,31.0,NW,N,13.0,7.0,83.0,57.0,1036.3,1034.2,1.0,1.0,4.1,12.0,No,No
27,2015-01-13,Williamtown,19.6,28.4,0.4,6.4,9.3,SW,33.0,W,ESE,2.0,22.0,76.0,68.0,1010.7,1006.1,5.0,3.0,22.9,26.4,No,Yes
28,2010-03-14,Cobar,15.8,28.5,0.0,7.6,5.8,ENE,35.0,ENE,NE,20.0,7.0,68.0,39.0,1026.9,1022.9,6.0,5.0,18.1,26.2,No,No
29,2013-07-04,Cobar,5.6,18.9,0.0,1.8,,NNW,35.0,N,NW,13.0,17.0,70.0,35.0,1019.1,1014.5,0.0,0.0,9.6,18.4,No,No
30,2013-04-23,Townsville,20.8,30.2,0.0,6.0,11.0,NNW,26.0,WNW,NE,6.0,15.0,76.0,54.0,1015.6,1012.5,3.0,1.0,27.4,29.3,No,No
31,2009-09-08,SydneyAirport,11.4,20.3,6.0,3.6,8.3,NW,37.0,NW,NE,13.0,15.0,50.0,52.0,1008.2,1007.1,1.0,7.0,16.8,17.1,Yes,No
32,2014-10-05,Albury,8.6,28.3,0.0,,,WNW,31.0,NE,SSE,2.0,11.0,83.0,39.0,1016.9,1013.4,8.0,,12.9,26.5,No,No
33,2009-10-14,Adelaide,11.6,16.5,6.2,2.6,3.5,WSW,59.0,SW,WSW,26.0,20.0,73.0,62.0,1011.7,1013.0,,,13.4,15.0,Yes,No
34,2017-01-25,Penrith,18.5,24.6,0.0,,,N,20.0,SW,NNE,11.0,6.0,71.0,63.0,,,,,20.9,23.3,No,No
35,2012-05-05,MelbourneAirport,6.6,13.0,0.0,2.4,2.1,WSW,30.0,W,SSW,15.0,13.0,72.0,87.0,1021.5,1019.3,1.0,8.0,11.3,12.2,No,No
36,2009-06-05,Cobar,6.9,17.6,0.0,2.2,9.3,SW,15.0,SSW,SW,7.0,11.0,86.0,40.0,1018.4,1015.5,3.0,3.0,10.9,16.6,No,No
37,2015-01-25,Tuggeranong,16.0,28.5,9.0,,,WNW,54.0,NNW,WNW,13.0,31.0,77.0,31.0,1002.8,1002.8,,,22.1,27.4,Yes,No
38,2015-11-21,Launceston,7.9,23.5,4.2,,,SW,33.0,WNW,SW,9.0,13.0,53.0,31.0,,,,,15.7,22.3,Yes,No
39,2011-07-13,Woomera,8.0,11.2,10.2,0.2,0.0,SSE,33.0,,SSE,0.0,13.0,97.0,89.0,1025.3,1023.3,7.0,8.0,8.6,10.7,Yes,Yes
40,2009-09-24,Moree,6.1,23.5,0.0,7.0,10.7,WSW,41.0,SSW,W,22.0,24.0,44.0,23.0,1018.3,1014.7,0.0,0.0,17.2,23.1,No,No
41,2009-06-28,MelbourneAirport,3.1,15.7,0.0,1.8,6.5,N,61.0,N,N,15.0,22.0,78.0,64.0,1006.7,1004.2,7.0,7.0,7.2,13.8,No,No
42,2014-03-22,Witchcliffe,15.3,28.6,0.0,,,SSE,46.0,SE,S,26.0,30.0,62.0,50.0,1020.1,1017.1,,,20.2,26.1,No,No
43,2015-08-08,NorahHead,8.6,15.6,0.0,,,SSW,37.0,WSW,S,13.0,28.0,68.0,66.0,1023.9,1021.9,,,11.9,14.9,No,No
44,2015-02-24,Cobar,24.6,37.9,0.0,11.2,,S,48.0,E,SSE,20.0,9.0,47.0,23.0,1011.2,1009.2,0.0,3.0,27.4,36.5,No,No
45,2010-04-12,SydneyAirport,13.8,24.2,0.0,8.6,10.6,WSW,50.0,W,SE,26.0,19.0,37.0,30.0,1014.9,1011.9,1.0,2.0,17.1,21.8,No,No
